,rounds,team_one,team_two,team_one_score,team_two_score,referee,venue,team_one_penalties,team_two_penalties,team_one_reds,team_two_reds,team_one_yellows,team_two_yellows
0,Round 15,Sunwolves,Rebels,7,52,Nick Briant,Prince Chichibu Memorial Stadium,14,10,0,0,0,1
1,Round 15,Sharks,Lions,27,17,Marius van der westhuizen,Jonsson Kings Park,8,8,0,0,0,0
2,Round 12,Hurricanes,Rebels,29,19,Nic Berry,Westpac Stadium,12,3,0,0,0,0
3,Round 11,Crusaders,Lions,36,10,Paul Williams,Christchurch Stadium,10,11,0,0,0,0
4,Round 18,Jaguares,Sunwolves,52,10,Federico Anselmi,Estadio Jose Amalfitani,7,12,0,0,0,1
5,Round 18,Highlanders,NSW Waratahs,49,12,Michael Fraser,Rugby Park,4,7,0,0,0,1
6,Round 16,Rebels,NSW Waratahs,15,20,Paul Williams,AAMI Park,7,7,0,0,0,0
7,Round 4,Hurricanes,Highlanders,25,22,Damon Murphy,Westpac Stadium,9,12,0,0,0,0
8,Round 4,Crusaders,Chiefs,57,28,Brendon Pickerill,Christchurch Stadium,11,5,0,0,0,0
9,Round 11,Sunwolves,Highlanders,0,52,Ben O'keeffe,Prince Chichibu Memorial Stadium,10,9,0,0,0,0
10,Round 17,NSW Waratahs,Brumbies,24,35,Ben O'keeffe,Bankwest Stadium,9,8,0,0,0,0
11,Round 12,Highlanders,Chiefs,31,31,Michael Fraser,Forsyth Barr Stadium,4,8,0,0,0,0
12,Round 14,Blues,Chiefs,23,8,Glen Jackson,Eden Park,5,9,0,0,0,0
13,Round 5,Highlanders,Crusaders,0,0,Brendon Pickerill,Forsyth Barr Stadium,0,0,0,0,0,0
14,Round 3,Hurricanes,Brumbies,43,13,Nick Briant,Central Energy Trust Arena,13,6,0,0,0,1
15,Round 10,Sunwolves,Hurricanes,23,29,Angus Gardner,Prince Chichibu Memorial Stadium,11,11,0,0,0,0
16,Round 15,Chiefs,Reds,19,13,Angus Gardner,FMG Stadium Waikato,13,3,0,0,0,0
17,Round 16,Reds,Jaguares,23,34,Jaco Peyper,Suncorp Stadium,8,9,0,0,0,0
18,Round 4,Rebels,Brumbies,29,26,AJ Jacobs,AAMI Park,12,12,0,0,2,0
19,Round 9,Rebels,Stormers,24,41,Michael Fraser,AAMI Park,7,8,0,0,0,0
20,Round 17,Highlanders,Bulls,24,24,Angus Gardner,Forsyth Barr Stadium,5,5,0,0,0,0
21,Round 11,NSW Waratahs,Sharks,15,23,Nic Berry,Bankwest Stadium,8,9,1,0,1,1
22,Round 4,Bulls,Sharks,37,14,Marius van der westhuizen,Loftus Versfeld,6,7,0,0,0,0
23,Round 7,Sharks,Bulls,16,19,Michael Fraser,Jonsson Kings Park,8,11,1,1,0,0
24,Round 15,NSW Waratahs,Jaguares,15,23,Paul Williams,Bankwest Stadium,6,7,0,0,0,1
25,Round 7,NSW Waratahs,Sunwolves,29,31,Paul Williams,McDonald Jones Stadium,5,6,0,0,0,0
26,Round 1 ,Jaguares,Lions,16,25,Michael Fraser,Estadio Jose Amalfitani,14,10,0,0,0,0
27,Round 18,Hurricanes,Blues,29,24,Glen Jackson,Westpac Stadium,5,12,0,0,0,0
28,Round 1 ,Chiefs,Highlanders,27,30,Glen Jackson,FMG Stadium Waikato,10,7,0,1,0,0
29,Round 5,Lions,Rebels,36,33,Egon Seconds,Emirates Airlines Park,1,20,0,0,0,2
30,Round 3,Chiefs,Sunwolves,15,30,Federico Anselmi,FMG Stadium Waikato,4,14,0,0,0,0
31,Round 3,Lions,Bulls,12,30,Paul Williams,Emirates Airlines Park,11,10,0,0,0,0
32,Round 16,Lions,Stormers,41,22,Marius van der westhuizen,Emirates Airlines Park,10,10,0,0,0,0
33,Round 17,Lions,Hurricanes,17,37,Jaco Peyper,Emirates Airlines Park,7,9,0,0,0,0
34,Round 9,Bulls,Reds,32,17,Glen Jackson,Loftus Versfeld,12,10,0,0,0,0
35,Round 4,Lions,Jaguares,47,39,Rasta Rasivhenge,Emirates Airlines Park,9,9,0,0,0,0
36,Round 18,Rebels,Chiefs,8,59,Angus Gardner,AAMI Park,7,8,0,0,0,0
37,Round 13,Rebels,Reds,30,24,Angus Gardner,AAMI Park,10,14,0,0,0,2
